"","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"3023","No","No","No",2,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.95,38.15,"No"
"6701","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",106.3,7565.35,"No"
"6211","No","No","Yes",25,"Yes","No","DSL","No","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",54.75,1266.35,"No"
"4479","No","No","No",3,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",54.2,140.4,"No"
"6793","No","No","No",56,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Electronic check",24.9,1334,"Yes"
"4329","No","Yes","No",15,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",51.1,711.15,"No"
"2333","No","Yes","No",47,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",66.05,3021.45,"No"
"2426","No","No","No",26,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",20.3,511.25,"No"
"2787","No","No","Yes",27,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Mailed check",56.2,1567.55,"No"
"5486","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",50.75,50.75,"No"
"272","No","Yes","No",57,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Electronic check",59.75,3450.15,"No"
"5234","No","Yes","No",8,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,842.9,"Yes"
"4733","No","Yes","Yes",71,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.9,1397.3,"No"
"1199","No","No","No",42,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",20.75,844.45,"No"
"1826","No","No","No",32,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",54.2,1739.6,"No"
"3594","No","No","No",8,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.1,551.35,"Yes"
"4719","No","Yes","No",20,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",20,416.45,"No"
"6863","Yes","No","No",4,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",88.85,372.45,"Yes"
"5304","No","No","Yes",43,"No","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",40.45,1912.85,"No"
"3955","Yes","Yes","No",17,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.8,1563.9,"No"
"5930","Yes","Yes","No",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",89.1,5618.3,"No"
"1325","No","Yes","Yes",4,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.35,76.35,"Yes"
"1895","No","Yes","No",46,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",43.95,2007.85,"No"
"5778","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",68.15,4808.7,"No"
"4836","No","Yes","No",65,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.25,6812.95,"No"
"1680","Yes","No","Yes",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.75,344.2,"No"
"300","No","No","Yes",1,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",73.6,73.6,"Yes"
"981","No","No","No",20,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",19.5,413,"No"
"1512","No","Yes","Yes",67,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",19.25,1372.9,"No"
"3343","No","No","No",40,"No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",62.05,2511.55,"No"
"1379","No","Yes","Yes",58,"Yes","Yes","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",66.8,3970.4,"No"
"5013","No","No","No",12,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.1,223.6,"No"
"55","Yes","Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"No"
"2617","No","Yes","Yes",6,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",44.6,260.8,"Yes"
"3584","No","Yes","Yes",40,"No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check",60.3,2448.5,"No"
"11","No","Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,587.45,"No"
"4051","Yes","Yes","No",58,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.9,5780.7,"No"
"1102","No","Yes","Yes",20,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20,417.65,"No"
"2501","No","Yes","Yes",50,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","One year","No","Electronic check",75.5,4025.6,"No"
"4495","No","No","No",3,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",84.3,235.05,"No"
"5400","No","No","No",50,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.75,989.05,"No"
"3923","Yes","Yes","No",67,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.65,6079,"No"
"1629","Yes","Yes","No",30,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.05,2627.2,"No"
"626","No","Yes","No",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",95.15,2395.7,"No"
"596","No","No","No",12,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","Yes","Mailed check",61.65,713.75,"Yes"
"2125","No","Yes","No",5,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.95,100.4,"Yes"
"4642","No","No","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.4,24.4,"No"
"2","No","No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5,"No"
"1453","Yes","No","No",52,"No","No","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",48.8,2555.05,"No"
"6484","No","Yes","Yes",13,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",97,1334.45,"No"
"6432","No","No","No",17,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.15,343.45,"No"
"5101","No","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",75.3,75.3,"Yes"
"2316","No","Yes","Yes",35,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",73.45,2661.1,"No"
"3578","No","No","No",36,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","One year","Yes","Mailed check",65.4,2498.4,"Yes"
"5167","No","No","No",61,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","No","Electronic check",104,6363.45,"No"
"4300","Yes","No","No",29,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",58.55,1718.95,"No"
"4349","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.1,19.1,"Yes"
"1511","No","Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",80.4,5727.15,"No"
"1506","Yes","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.7,74.7,"Yes"
"2701","No","No","No",35,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",24.15,812.5,"No"
"6539","No","No","No",2,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",79.85,152.45,"Yes"
"6678","No","No","No",13,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",29.15,357.15,"No"
"5133","No","Yes","Yes",71,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","One year","Yes","Electronic check",66.2,4692.55,"No"
"5086","No","No","No",39,"No","No","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",40.6,1494.5,"No"
"3716","Yes","No","No",11,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",78.5,874.2,"No"
"16","No","Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15,"No"
"4223","No","No","No",45,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",112.2,5031.85,"No"
"5801","No","No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",80.05,1345.65,"No"
"5209","No","Yes","Yes",14,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",59.45,780.85,"No"
"3138","No","Yes","Yes",41,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",109.1,4454.25,"No"
"3713","No","No","No",44,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","One year","No","Electronic check",65.4,2774.55,"No"
"3724","No","Yes","Yes",18,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.45,357,"No"
"10","No","No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95,"No"
"2465","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",77.15,77.15,"Yes"
"4240","No","Yes","Yes",56,"No","No","DSL","No","Yes","Yes","No","No","No","One year","Yes","Credit card (automatic)",36.1,1971.5,"No"
"5740","Yes","Yes","No",67,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",102.9,6989.7,"No"
"2471","No","Yes","No",67,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.25,1733.15,"No"
"2843","No","No","No",4,"No","No","DSL","Yes","No","Yes","Yes","No","Yes","Month-to-month","No","Mailed check",48.25,202.25,"No"
"3970","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",69.95,69.95,"No"
"4082","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6,"Yes"
"4980","No","Yes","Yes",56,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Mailed check",24.45,1385.85,"No"
"2734","No","Yes","No",1,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",55.3,55.3,"No"
"6358","No","Yes","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","No","Electronic check",89.75,5769.6,"Yes"
"6656","No","No","No",63,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",24.2,1618.2,"No"
"1618","No","No","No",27,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Electronic check",59.45,1611.65,"No"
"5010","No","Yes","No",66,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",115.8,7942.15,"No"
"6246","No","Yes","No",59,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",80.1,4693.2,"No"
"4172","No","No","No",9,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",18.95,185.6,"Yes"
"4365","No","No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",80.3,4995.35,"No"
"6477","No","Yes","Yes",53,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","No","Bank transfer (automatic)",64.15,3491.55,"No"
"5876","No","Yes","No",65,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Two year","No","Bank transfer (automatic)",71,4386.2,"No"
"4007","No","Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.8,1414.65,"No"
"5674","No","No","No",4,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.7,117.8,"No"
"787","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",55.3,3983.6,"No"
"5280","No","Yes","Yes",70,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",25.15,1790.15,"No"
"4306","No","Yes","No",29,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.55,521.8,"No"
"1027","Yes","No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.6,819.4,"Yes"
"555","No","No","No",32,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80.35,2596.15,"Yes"
"3203","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55.25,55.25,"No"
"5379","No","Yes","Yes",58,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Mailed check",75.8,4415.75,"No"
"5061","No","No","No",18,"No","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",35.2,607.3,"No"
"5638","No","Yes","Yes",64,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","One year","No","Credit card (automatic)",90.25,5629.15,"No"
"1176","No","No","No",13,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80,1029.35,"No"
"6514","No","Yes","Yes",15,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",59.65,867.1,"No"
"2027","Yes","No","No",71,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",105.75,7382.85,"No"
"1030","Yes","Yes","Yes",3,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",88.3,273.75,"Yes"
"4959","No","Yes","No",59,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",94.75,5597.65,"No"
"2236","No","Yes","Yes",41,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",78.35,3211.2,"No"
"5368","No","Yes","Yes",65,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",82.5,5215.1,"No"
"2719","No","No","No",62,"No","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",43.7,2618.3,"No"
"4676","No","No","No",43,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","One year","Yes","Electronic check",100,4211.55,"Yes"
"5345","No","No","Yes",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",76.9,5522.7,"No"
"1296","No","Yes","Yes",70,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.6,5460.2,"No"
"200","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.75,20.75,"No"
"935","No","No","No",12,"No","No","DSL","Yes","No","No","Yes","No","No","One year","Yes","Mailed check",33.6,435.45,"No"
"4683","Yes","No","No",27,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","No","Credit card (automatic)",88.3,2467.75,"Yes"
"6434","No","Yes","Yes",58,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.5,1191.4,"No"
"3789","No","Yes","No",54,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",109.75,6110.2,"Yes"
"4142","Yes","No","No",35,"No","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",39.85,1434.6,"No"
"1359","No","No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.15,735.5,"No"
"3683","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.1,69.1,"Yes"
"1238","No","No","No",13,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.45,270.2,"No"
"3108","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",113.65,8182.75,"No"
"2182","No","Yes","Yes",50,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",84.15,4164.4,"No"
"800","No","No","No",62,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",96.75,6125.4,"Yes"
"1282","No","No","No",36,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",19.25,679.8,"No"
"5016","No","No","No",34,"Yes","Yes","DSL","No","No","No","Yes","Yes","No","Month-to-month","No","Mailed check",65,2157.5,"No"
"2831","No","No","No",60,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Electronic check",61.4,3638.25,"No"
"2846","No","No","No",11,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",94.2,999.9,"No"
"3300","No","No","No",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",117.2,8035.95,"No"
"2937","No","No","No",40,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",102.65,4108.15,"No"
"939","No","Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",108.05,7118.9,"No"
"5664","No","Yes","Yes",37,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.25,3314.15,"No"
"4068","No","Yes","No",68,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",79.6,5515.8,"No"
"5454","No","Yes","No",60,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Mailed check",61.35,3766.2,"No"
"6905","Yes","No","No",64,"No","No","DSL","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",43.85,2751,"No"
"6300","No","No","No",52,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.95,4233.95,"No"
"5919","No","Yes","Yes",59,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.5,1147.85,"No"
"2177","No","Yes","Yes",67,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.4,1284.2,"No"
"1781","No","No","Yes",18,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.15,390.85,"Yes"
"5092","No","No","No",6,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",30.5,208.7,"Yes"
"5126","No","Yes","No",11,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94,1078.9,"Yes"
"6293","No","Yes","Yes",39,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Electronic check",100,3835.55,"No"
"5439","No","Yes","No",9,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.9,741.7,"Yes"
"915","No","Yes","Yes",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",25.2,1798.9,"No"
"1975","No","Yes","No",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,825.7,"Yes"
"1336","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45,96.45,"Yes"
