"","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price","Longitude","Latitude"
"12","Two_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northpark_Villa","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,544,855,"GasA","Fair","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","Attchd","Unf",2,440,"Typical","Typical","Paved",26,0,0,0,0,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",146000,-93.625848,42.049811
"13","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",98,11478,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Very_Good","Average",2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Good","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,486,1704,"GasA","Excellent","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Good",7,"Typ",1,"Good","Attchd","RFn",3,772,"Typical","Typical","Paved",0,50,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",306000,-93.654645,42.062109
"14","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",83,10159,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Excellent","Average",2009,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",450,"Excellent","Typical","PConc","Excellent","Typical","Av","GLQ",3,"Unf",0,284,1930,"GasA","Excellent","Y","SBrkr",1940,0,0,1940,1,0,2,1,3,1,"Excellent",8,"Typ",1,"Good","Attchd","Fin",3,606,"Typical","Typical","Paved",168,95,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"New","Partial",395192,-93.6537329,42.0611331
"15","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,10171,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Good","Average",2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",168,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,1515,1517,"GasA","Excellent","Y","SBrkr",1535,0,0,1535,0,0,2,0,3,1,"Good",7,"Typ",0,"No_Fireplace","Attchd","RFn",2,532,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",214000,-93.652307,42.060298
"16","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",110,14300,"Pave","No_Alley_Access","Regular","HLS","AllPub","Inside","Mod","Northridge_Heights","Norm","Norm","OneFam","One_Story","Excellent","Average",2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1095,"Excellent","Typical","PConc","Excellent","Typical","Gd","GLQ",3,"Unf",0,1473,2846,"GasA","Excellent","Y","SBrkr",2696,0,0,2696,1,0,2,1,3,1,"Excellent",10,"Typ",2,"Good","Attchd","Fin",3,958,"Typical","Typical","Paved",220,150,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",500000,-93.656067,42.058599
"17","One_Story_PUD_1946_and_Newer","Residential_Low_Density",61,7658,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","TwnhsE","One_Story","Excellent","Average",2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Excellent","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,1296,1752,"GasA","Excellent","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Excellent",6,"Typ",1,"Good","Attchd","RFn",2,576,"Typical","Typical","Paved",196,82,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"WD ","Normal",319900,-93.654121,42.057164
"18","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",100,18494,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Above_Average","Average",2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,1324,1324,"GasA","Excellent","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"Good",6,"Typ",0,"No_Fireplace","Attchd","Fin",2,430,"Typical","Typical","Paved",36,23,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",199500,-93.644356,42.061928
"19","One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,3203,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Bloomington_Heights","Norm","Norm","TwnhsE","One_Story","Good","Average",2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",14,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"Unf",0,1129,1145,"GasA","Excellent","Y","SBrkr",1145,0,0,1145,0,0,2,0,2,1,"Good",6,"Typ",0,"No_Fireplace","Attchd","Fin",2,437,"Typical","Typical","Paved",100,116,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",160000,-93.641635,42.06257
"20","Two_Story_1946_and_Newer","Residential_Low_Density",0,7851,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,235,860,"GasA","Excellent","Y","SBrkr",860,1100,0,1960,1,0,2,1,4,1,"Good",8,"Typ",2,"Typical","BuiltIn","Fin",2,440,"Typical","Typical","Paved",288,48,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",216500,-93.641487,42.060977
"21","Two_Story_1946_and_Newer","Residential_Low_Density",63,8577,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Good","Average",2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,847,847,"GasA","Excellent","Y","SBrkr",847,886,0,1733,0,0,2,1,3,1,"Good",7,"Typ",1,"Good","BuiltIn","Fin",2,433,"Typical","Typical","Paved",144,48,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",185088,-93.642447,42.061193
"22","Two_Story_1946_and_Newer","Residential_Low_Density",0,9505,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Good","Average",2001,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",180,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,884,884,"GasA","Excellent","Y","SBrkr",884,1151,0,2035,0,0,2,1,3,1,"Good",8,"Typ",1,"Good","BuiltIn","Fin",2,434,"Typical","Typical","Paved",144,48,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",222500,-93.641337,42.057103
"23","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",59,10593,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge","Norm","Norm","OneFam","One_Story","Good","Average",1996,1996,"Hip","CompShg","VinylSd","VinylSd","BrkFace",338,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,801,1720,"GasA","Excellent","Y","SBrkr",1720,0,0,1720,1,0,2,0,3,1,"Good",7,"Typ",1,"Typical","Attchd","Fin",2,527,"Typical","Typical","Paved",240,56,154,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",260400,-93.654206,42.051721
"24","Two_Story_1946_and_Newer","Residential_Low_Density",92,11764,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","Northridge","Norm","Norm","OneFam","Two_Story","Very_Good","Good",1999,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",348,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,628,1152,"GasA","Excellent","Y","SBrkr",1164,1106,0,2270,0,0,2,1,4,1,"Good",9,"Typ",1,"Good","Attchd","Fin",3,671,"Typical","Typical","Paved",132,57,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",290000,-93.650356,42.052457
"25","Two_Story_1946_and_Newer","Residential_Low_Density",58,16770,"Pave","No_Alley_Access","Moderately_Irregular","Lvl","AllPub","CulDSac","Gtl","Northridge","Norm","Norm","OneFam","Two_Story","Good","Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",30,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,1195,1195,"GasA","Good","Y","SBrkr",1195,644,0,1839,0,0,2,1,4,1,"Typical",7,"Typ",0,"No_Fireplace","Attchd","Fin",2,486,"Typical","Typical","Paved",0,81,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",221000,-93.650578,42.052437
"26","One_and_Half_Story_Finished_All_Ages","Residential_Low_Density",56,14720,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","Northridge","Norm","Norm","OneFam","One_and_Half_Fin","Very_Good","Average",1995,1996,"Hip","CompShg","VinylSd","VinylSd","BrkFace",579,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"Unf",0,1217,2033,"GasA","Excellent","Y","SBrkr",2053,1185,0,3238,1,0,2,1,4,1,"Good",9,"Typ",1,"Excellent","Attchd","Fin",3,666,"Typical","Typical","Paved",283,86,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",410000,-93.652972,42.050909
"27","One_Story_1946_and_Newer_All_Styles","Floating_Village_Residential",92,9215,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","OneFam","One_Story","Good","Average",2009,2010,"Hip","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,1218,1218,"GasA","Excellent","Y","SBrkr",1218,0,0,1218,0,0,2,0,2,1,"Good",4,"Typ",0,"No_Fireplace","Attchd","RFn",2,676,"Typical","Typical","Paved",0,136,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"New","Partial",204500,-93.649976,42.051827
"28","Two_Story_1946_and_Newer","Floating_Village_Residential",100,12552,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Somerset","Norm","Norm","OneFam","Two_Story","Good","Average",2004,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,769,991,"GasA","Excellent","Y","SBrkr",991,956,0,1947,0,0,2,1,3,1,"Good",8,"Typ",1,"Good","Attchd","RFn",2,678,"Typical","Typical","Paved",0,136,0,0,0,0,"No_Pool","Good_Wood","None",0,5,2010,"WD ","Normal",254900,-93.642773,42.052347
"29","Two_Story_1946_and_Newer","Residential_Low_Density",70,11920,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Sawyer_West","Norm","Norm","OneFam","Two_Story","Good","Average",2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",122,"Good","Typical","PConc","Good","Typical","Av","Unf",7,"Unf",0,831,831,"GasA","Excellent","Y","SBrkr",831,828,0,1659,0,0,2,1,3,1,"Good",8,"Typ",0,"No_Fireplace","Attchd","RFn",2,484,"Typical","Typical","Paved",144,68,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",181000,-93.692412,42.036113
"30","One_Story_1945_and_Older","Residential_High_Density",70,9800,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Sawyer_West","Feedr","Norm","OneFam","One_Story","Average","Average",1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Typical","Fair","BrkTil","Typical","Typical","No","Unf",7,"Unf",0,816,816,"GasA","Typical","N","FuseA",1012,0,0,1012,0,0,1,0,2,1,"Typical",5,"Typ",0,"No_Fireplace","Detchd","Unf",1,429,"Typical","Typical","Paved",121,0,80,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",67500,-93.6790694,42.0360754
"31","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,9819,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","OneFam","One_Story","Average","Average",1967,1967,"Gable","CompShg","MetalSd","MetalSd","BrkFace",31,"Typical","Good","CBlock","Typical","Typical","No","BLQ",2,"Unf",0,432,882,"GasA","Typical","Y","SBrkr",900,0,0,900,0,0,1,0,3,1,"Typical",5,"Typ",0,"No_Fireplace","Detchd","Unf",1,280,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,2,2010,"WD ","Normal",122000,-93.672096,42.034856
"32","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",75,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","OneFam","One_Story","Average","Average",1963,1963,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,216,1040,"GasA","Fair","Y","SBrkr",1040,0,0,1040,1,0,1,1,3,1,"Typical",5,"Typ",0,"No_Fireplace","Attchd","Fin",1,308,"Typical","Typical","Paved",0,0,220,0,0,0,"No_Pool","Minimum_Privacy","None",0,6,2010,"WD ","Normal",133000,-93.672067,42.03457
"33","Two_Story_1946_and_Newer","Residential_Low_Density",107,10186,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge","Norm","Norm","OneFam","Two_Story","Good","Average",1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,76,750,"GasA","Excellent","Y","SBrkr",1061,862,0,1923,1,0,2,1,3,1,"Good",8,"Typ",1,"Typical","Attchd","RFn",2,564,"Typical","Typical","Paved",240,39,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",190000,-93.646749,42.048253
"34","Two_Story_1946_and_Newer","Residential_Low_Density",88,11134,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northridge","Norm","Norm","OneFam","Two_Story","Very_Good","Average",1992,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",180,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,261,1390,"GasA","Excellent","Y","SBrkr",1402,823,0,2225,1,0,2,1,4,1,"Good",7,"Typ",1,"Typical","Attchd","RFn",3,713,"Typical","Typical","Paved",198,30,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",285000,-93.652773,42.045773
"35","Two_Story_PUD_1946_and_Newer","Floating_Village_Residential",39,3515,"Pave","Paved","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","TwnhsE","Two_Story","Good","Average",2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,840,840,"GasA","Excellent","Y","SBrkr",840,840,0,1680,0,0,2,1,2,1,"Good",3,"Typ",0,"No_Fireplace","Attchd","RFn",2,588,"Typical","Typical","Paved",0,111,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",190000,-93.64614,42.048086
"36","Two_Story_PUD_1946_and_Newer","Floating_Village_Residential",30,3215,"Pave","Paved","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","TwnhsE","Two_Story","Good","Average",2004,2004,"Gable","CompShg","MetalSd","MetalSd","BrkFace",120,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"Unf",0,320,600,"GasA","Excellent","Y","SBrkr",600,600,0,1200,0,0,2,1,2,1,"Good",4,"Typ",0,"No_Fireplace","Detchd","RFn",2,480,"Typical","Typical","Paved",0,172,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"ConLD","Normal",155000,-93.645599,42.048566
"37","Two_Story_PUD_1946_and_Newer","Floating_Village_Residential",0,2117,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",216,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,378,756,"GasA","Excellent","Y","SBrkr",769,804,0,1573,0,0,2,1,3,1,"Good",5,"Typ",0,"No_Fireplace","Detchd","Unf",2,440,"Typical","Typical","Paved",0,32,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",177500,-93.645606,42.046145
"38","Two_Story_PUD_1946_and_Newer","Floating_Village_Residential",24,2572,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","Somerset","Norm","Norm","Twnhs","Two_Story","Good","Average",1999,1999,"Hip","CompShg","MetalSd","MetalSd","None",0,"Good","Typical","PConc","Good","Typical","No","ALQ",1,"Unf",0,92,696,"GasA","Excellent","Y","SBrkr",696,720,0,1416,1,0,2,1,3,1,"Good",6,"Typ",0,"No_Fireplace","Detchd","Unf",2,484,"Typical","Typical","Paved",0,44,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",155000,-93.645482,42.046424
